C011DF $28             PLP                             A:0001 X:0040 Y:0002 S:0366 D:0000 DB:C6 P:34 V:22  H:249
C011E0 $6B             RTL                             A:0001 X:0040 Y:0002 S:0367 D:0000 DB:C6 P:14 V:22  H:256
C90597 $A0 $04         LDY #$04                        A:0001 X:0040 Y:0002 S:036A D:0000 DB:C6 P:14 V:22  H:266
C90599 $B3 $09         LDA ($09,S),Y [C60AC1] = $02F4  A:0001 X:0040 Y:0004 S:036A D:0000 DB:C6 P:14 V:22  H:269
C9059B $A0 $07         LDY #$07                        A:02F4 X:0040 Y:0004 S:036A D:0000 DB:C6 P:14 V:22  H:297
C9059D $18             CLC                             A:02F4 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:300
C9059E $73 $09         ADC ($09,S),Y [C60AC4] = $0000  A:02F4 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:303
C905A0 $90 $03         BCC $C905A5                     A:02F4 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:316
C905A5 $65 $40         ADC $40 [000040] = $0034        A:02F4 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:321
C905A7 $85 $40         STA $40 [000040] = $0034        A:0328 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:327
C905A9 $90 $02         BCC $C905AD                     A:0328 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:334
C905AD $E2 $20         SEP #$20                        A:0328 X:0040 Y:0007 S:036A D:0000 DB:C6 P:14 V:22  H:338
C905AF $A0 $06         LDY #$06                        A:0328 X:0040 Y:0007 S:036A D:0000 DB:C6 P:34 V:23  H:3  
C905B1 $B3 $09         LDA ($09,S),Y [C60AC3] = $C8    A:0328 X:0040 Y:0006 S:036A D:0000 DB:C6 P:34 V:23  H:6  
C905B3 $18             CLC                             A:03C8 X:0040 Y:0006 S:036A D:0000 DB:C6 P:B4 V:23  H:17 
C905B4 $65 $42         ADC $42 [000042] = $00          A:03C8 X:0040 Y:0006 S:036A D:0000 DB:C6 P:B4 V:23  H:20 
C905B6 $85 $42         STA $42 [000042] = $00          A:03C8 X:0040 Y:0006 S:036A D:0000 DB:C6 P:B4 V:23  H:25 
C905B8 $C2 $30         REP #$30                        A:03C8 X:0040 Y:0006 S:036A D:0000 DB:C6 P:B4 V:23  H:30 
C905BA $A7 $40         LDA [$40] [C80328] = $0908      A:03C8 X:0040 Y:0006 S:036A D:0000 DB:C6 P:84 V:23  H:35 
C905BC $AA             TAX                             A:0908 X:0040 Y:0006 S:036A D:0000 DB:C6 P:04 V:23  H:47 
