01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01E912 $A2 $10 $00     LDX #$0010                      A:CD30 X:7F40 Y:9A38 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:241
01E915 $B9 $00 $00     LDA $0000,Y [049A38] = $C0      A:CD30 X:0010 Y:9A38 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:247
01E918 $C8             INY                             A:CDC0 X:0010 Y:9A38 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:257
01E919 $85 $80         STA $80 [002180] = $00          A:CDC0 X:0010 Y:9A39 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:260
01E91B $CA             DEX                             A:CDC0 X:0010 Y:9A39 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:266
01E91C $D0 $F7         BNE $01E915                     A:CDC0 X:000F Y:9A39 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:269
01E915 $B9 $00 $00     LDA $0000,Y [049A39] = $00      A:CDC0 X:000F Y:9A39 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:275
01E918 $C8             INY                             A:CD00 X:000F Y:9A39 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:201 H:298
01E919 $85 $80         STA $80 [002180] = $00          A:CD00 X:000F Y:9A3A S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:302
01E91B $CA             DEX                             A:CD00 X:000F Y:9A3A S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:307
01E91C $D0 $F7         BNE $01E915                     A:CD00 X:000E Y:9A3A S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:311
01E915 $B9 $00 $00     LDA $0000,Y [049A3A] = $70      A:CD00 X:000E Y:9A3A S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:316
01E918 $C8             INY                             A:CD70 X:000E Y:9A3A S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:325
01E919 $85 $80         STA $80 [002180] = $00          A:CD70 X:000E Y:9A3B S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:328
01E91B $CA             DEX                             A:CD70 X:000E Y:9A3B S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:334
01E91C $D0 $F7         BNE $01E915                     A:CD70 X:000D Y:9A3B S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:337
01E915 $B9 $00 $00     LDA $0000,Y [049A3B] = $40      A:CD70 X:000D Y:9A3B S:1FC2 D:2100 DB:04 P:nvMxdizc V:202 H:3  
01E918 $C8             INY                             A:CD40 X:000D Y:9A3B S:1FC2 D:2100 DB:04 P:nvMxdizc V:202 H:12 
01E919 $85 $80         STA $80 [002180] = $00          A:CD40 X:000D Y:9A3C S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:16 
01E91B $CA             DEX                             A:CD40 X:000D Y:9A3C S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:21 
01E91C $D0 $F7         BNE $01E915                     A:CD40 X:000C Y:9A3C S:1FC2 D:2100 DB:04 P:nvMxdizc V:202 H:25 
01E915 $B9 $00 $00     LDA $0000,Y [049A3C] = $88      A:CD40 X:000C Y:9A3C S:1FC2 D:2100 DB:04 P:nvMxdizc V:202 H:30 
01E918 $C8             INY                             A:CD88 X:000C Y:9A3C S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:40 
01E919 $85 $80         STA $80 [002180] = $00          A:CD88 X:000C Y:9A3D S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:43 
01E91B $CA             DEX                             A:CD88 X:000C Y:9A3D S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:49 
01E91C $D0 $F7         BNE $01E915                     A:CD88 X:000B Y:9A3D S:1FC2 D:2100 DB:04 P:nvMxdizc V:202 H:52 
01E915 $B9 $00 $00     LDA $0000,Y [049A3D] = $80      A:CD88 X:000B Y:9A3D S:1FC2 D:2100 DB:04 P:nvMxdizc V:202 H:58 
01E918 $C8             INY                             A:CD80 X:000B Y:9A3D S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:67 
01E919 $85 $80         STA $80 [002180] = $00          A:CD80 X:000B Y:9A3E S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:71 
01E91B $CA             DEX                             A:CD80 X:000B Y:9A3E S:1FC2 D:2100 DB:04 P:NvMxdizc V:202 H:76 
